kata_slang;kata_baku
teriakan;teriak
terimakasih;terima kasih
terobosan;tabrak
teros;terus
testing;pengujian
tetep;tetap
tetiba;tiba tiba
teu;tidak
tgas;tegas
tgl;tanggal
th;tahun
that;itu
thd;terhadap
thdp;terhadap
thn;tahun
thr;tunjangan hari raya
thun;tahun
ticketing;beli tiket
tida;tidak
tidakngiler;tidak nafsu
tidk;tidak
timnas;tim nasional
timnass;tim nasional
tivi;tv
tkt;takut
tkut;takut
tlg;tolong
too iki;ini
toak;tolak
today is timnas day;hari ini adalah hari timnas
today;hari ini
tonggos;gigi tidak beraturan
too kiihh;ini
tp;tapi
tpi;tapi
tpii;tapi
trending;berita hangat
triliyun;triliun
trimo;nerima
trjadi;terjadi
trs;terus
trseleksi;terseleksi
truck;mobil besar
trunanya;pemudanya
trus;terus
tsb;tersebut
tst;tersebut
ttaaapi;tapi
ttg;tentang
ttp;tetap
tuk;untuk
tundukkan;kalahkan
tunjukkn;tunjukan
turunany;turunannya
turunin;turunkan
tv;televisi
tw;tahu
typo;salah tulis
uda;sudah
uda;udah
udh;sudah
udh;udah
ujicoba;uji coba
ujicobanya;uji cobanya
ultah;ulang tahun
ultahnya;ulang tahunnya
umik;bicara
undah;undang
unfaedah;tidak berguna
univ;universitas
unt;untuk
untk;untuk
unyu;menggemaskan
update;memperbarui
urg;saya
us;amerika serikat
ussf;angkatan antariksa amerika serikat
usul;saran
utd;united
uteg;otak
utek;otak
utekmu;otak
utk;untuk
uyuhan;untung
venue;tempat
versus;melawan
viral;menyebar luas
vote;suara
voters;suara
vs;melawan
wae;aja
waee;saja
waja;wajah
wajahh;wajah
wajar;biasa
wakanda;indonesia
waktuny;waktunya
waline;walinya
wani;berani
want;mau
waras;sehat
warkop;warung kopi
wat;untuk
water;air
waton;santai
way;cara
wes;udah
wis;udah
with;dengan
wkt;waktu
woles;santai
wong;orang
wonge;orangnya
working;kerja
wtf;apa
x;kali
y;ya
yahc;yah
ye;ya
yg;yang
yimnas;timnas
yng;yang
yohh;iya
you;anda
you;kamu
yoyok;ayo
yth;yang terhormat
zoom;diperbesar
zulkifly;zulkifli
sagu;saqu
cashbacknya;cashback
